,raft,sensor,good,orientation,mask,instrument,orientation_2,x0,y0,r_amp,amplitude,rms_fit,ID
0,R23,S12,True,1,False,e2v,1.0,4682.0,-609.0,5427.02,0.0002381,0.0002521,R23_S12
1,R23,S00,False,-1,False,,,0.0,0.0,,,,R23_S00
2,R23,S01,True,2,False,e2v,2.0,-360.0,-528.0,5211.38,0.0002562,0.0001723,R23_S01
3,R23,S02,True,2,False,e2v,2.0,-566.0,-598.0,5403.47,0.0002594,0.000294,R23_S02
4,R23,S21,True,2,False,e2v,2.0,-388.0,-496.0,5206.95,0.0002902,0.0002979,R23_S21
5,R23,S22,True,2,False,e2v,2.0,-423.0,-633.0,5331.82,0.0002392,0.0002108,R23_S22
6,R23,S10,True,2,False,e2v,2.0,-456.0,-585.0,5318.51,0.0002556,0.0002023,R23_S10
7,R23,S11,True,1,False,e2v,1.0,4195.0,-233.0,4820.23,0.0001792,0.000257,R23_S11
8,R23,S20,True,2,False,e2v,2.0,-420.0,-644.0,5337.78,0.0002326,0.0002153,R23_S20
9,R14,S12,True,2,False,e2v,2.0,-348.0,-475.0,5164.26,0.0002304,0.0002476,R14_S12
10,R14,S00,False,-1,False,,,0.0,0.0,,,,R14_S00
11,R14,S01,False,-1,False,,,0.0,0.0,,,,R14_S01
12,R14,S02,True,2,False,e2v,2.0,-138.0,-357.0,4938.19,0.0002019,0.0002238,R14_S02
13,R14,S21,False,1,True,,,4339.4545,-372.939,,,,R14_S21
14,R14,S22,False,-1,False,,,0.0,0.0,,,,R14_S22
15,R14,S10,True,2,False,e2v,2.0,-448.0,-548.0,5285.72,0.000264,0.0001985,R14_S10
16,R14,S11,True,2,True,e2v,2.0,-381.0,-616.0,5290.26,0.0017542,0.0013035,R14_S11
17,R14,S20,True,2,False,e2v,2.0,-557.0,-543.0,5358.93,0.0002461,0.0002525,R14_S20
18,R31,S12,False,4,False,,,-335.49,4095.84,,,,R31_S12
19,R31,S00,True,1,False,e2v,1.0,4200.0,-107.0,4731.24,0.0002259,0.0004564,R31_S00
20,R31,S01,True,2,True,e2v,2.0,-397.0,-487.0,5206.32,0.001864,0.0014066,R31_S01
21,R31,S02,True,1,False,e2v,1.0,4563.0,-592.0,5332.0,0.000289,0.000302,R31_S02
22,R31,S21,True,2,False,e2v,2.0,-501.0,-577.0,5343.48,0.0002657,0.0002198,R31_S21
23,R31,S22,True,2,False,e2v,2.0,-480.0,-490.0,5267.62,0.0002374,0.0001795,R31_S22
24,R31,S10,False,1,False,,,4339.4545,-372.939,,,,R31_S10
25,R31,S11,True,1,False,e2v,1.0,4463.0,-393.0,5119.9,0.0002303,0.0002551,R31_S11
26,R31,S20,True,1,False,e2v,1.0,4419.0,-377.0,5076.47,0.0002448,0.0003699,R31_S20
27,R34,S12,False,-1,False,,,0.0,0.0,,,,R34_S12
28,R34,S00,True,2,False,e2v,2.0,-475.0,-600.0,5342.77,0.0002867,0.0002108,R34_S00
29,R34,S01,False,-1,False,,,0.0,0.0,,,,R34_S01
30,R34,S02,False,-1,False,,,0.0,0.0,,,,R34_S02
31,R34,S21,True,1,False,e2v,1.0,4565.0,-461.0,5239.43,0.0002881,0.0002384,R34_S21
32,R34,S22,True,1,False,e2v,1.0,4150.0,-247.0,4802.58,0.0002419,0.0004342,R34_S22
33,R34,S10,False,-1,False,,,0.0,0.0,,,,R34_S10
34,R34,S11,True,2,True,e2v,2.0,-69.0,-246.0,4810.44,0.0010917,0.0010315,R34_S11
35,R34,S20,True,1,False,e2v,1.0,4233.0,-150.0,4784.99,0.0002311,0.0003825,R34_S20
36,R12,S12,False,-1,False,,,0.0,0.0,,,,R12_S12
37,R12,S00,False,-1,False,,,0.0,0.0,,,,R12_S00
38,R12,S01,False,-1,False,,,0.0,0.0,,,,R12_S01
39,R12,S02,True,3,False,e2v,3.0,4628.0,4482.0,5297.06,0.0002704,0.0002212,R12_S02
40,R12,S21,True,2,False,e2v,2.0,-468.0,-551.0,5302.11,0.0003322,0.0002921,R12_S21
41,R12,S22,False,-1,False,,,0.0,0.0,,,,R12_S22
42,R12,S10,True,2,False,e2v,2.0,-386.0,-579.0,5265.95,0.0002297,0.000177,R12_S10
43,R12,S11,True,1,False,e2v,1.0,4387.0,-411.0,5079.93,0.0002573,0.0003115,R12_S11
44,R12,S20,True,2,False,e2v,2.0,-348.0,-547.0,5217.38,0.0002133,0.0001871,R12_S20
45,R33,S12,True,3,False,e2v,3.0,4627.0,4492.0,5304.01,0.0002961,0.0001797,R33_S12
46,R33,S00,False,-1,False,,,0.0,0.0,,,,R33_S00
